ZZ3_IDEQU,ZZ3_FILIAL,ZZ3_PLACA,ZZ3_FROTA ,ZZ3_EMPEQU,ZZ3_POSSE,ZZ3_TIPEQU,ZZ3_OBS,ZZ3_DATDIG,D_E_L_E_T_,R_E_C_N_O_
6765,,MSO5458,,ROTA BM TRANSPORTES,PROPRIO,CAVMEC,,,,
6766,,LRX8105,,ROTA BM TRANSPORTES,PROPRIO,CSC,,,,
6767,,NON1305,GOL,GCA NAVEGACAO,PROPRIO,VLEVE,,,,
6768,,JHK0447,,PARTICULAR,PROPRIO,CAVMEC,,,,
6769,,NGS8927,,PARTICULAR,PROPRIO,CSC,,,,
6770,,NGS8867,,PARTICULAR,PROPRIO,CSC,,,,
6771,,PRG2764,,CAMPEAO ,PROPRIO,TOCO,,,,
6772,,PQD8180,AMAROK,PARTICULAR,PROPRIO,UTILIT,,,,
6773,,EJX6375,,GRUPO ARIZONA,PROPRIO,CSC,,,,
6774,,BWG0066,,PARTICULAR,PROPRIO,CAVMEC,,,,
6775,,CQH8897,,PARTICULAR,PROPRIO,CSC,,,,
6776,,BCN0310,,PARTICULAR,PROPRIO,TRUCK,,,,
6777,,HQG5881,,PARTICULAR,PROPRIO,CAVMEC,,,,
6778,,MSL8756,,TRANS PES,PROPRIO,CSC,,,,
6779,,HCJ9669,,PARTICULAR,PROPRIO,CAVMEC,,,,
6780,,HMV9527,,PARTICULAR,PROPRIO,CSC,,,,
6781,,MRO9836,MD 300C,GUERRERO,PROPRIO,GUIND,,,,
6782,,EQU5613,,TRANSPES MINAS,PROPRIO,CAVMEC,,,,
6783,,GVQ8014,,TRANSPES MINAS,PROPRIO,CSC,,,,
6784,,HBZ2964,,TRANSPES MINAS,PROPRIO,CSC,,,,
6785,,AHU4753,,PARTICULAR,PROPRIO,CAVMEC,,,,
6786,,MGH0559,,PARTICULA,PROPRIO,BAU,,,,
6787,,OJX7763,,PARTICULAR,PROPRIO,CAVMEC,,,,
6788,,OWB9633,DOLLY,PATICULAR,PROPRIO,REBOQUE,,,,
6789,,OWB9653,,PARTICULAR,PROPRIO,CSC,,,,
6790,,OFV3642,RENAUT,PARTICULAR,PROPRIO,VLEVE,,,,
6791,,LLK6813,,PAREX CONTRUÇAO,PROPRIO,TRUCK,,,,
6792,,OFK3355,VOYAGE,PARTICULAR,PROPRIO,VLEVE,,,,
6793,,HBZ8534,,TRANS PES,PROPRIO,CSC,,,,
6794,,KEF0940,,PARTICULAR,PROPRIO,CAVMEC,,,,
6795,,QEE9702,,PARTICULAR,PROPRIO,CSC,,,,
6796,,QDJ5004,,CASA DO CONSTRUTOR,PROPRIO,TRUCK,,,,
6797,,HFP3820,PALIO,PARTICULAR,PROPRIO,VLEVE,,,,
6798,,QEA0498,,PARTICULAR,PROPRIO,UTILIT,,,,
6799,,QDY0535,ONIX,PARTICULAR,PROPRIO,VLEVE,,,,
6800,,MSD2871,,TRANS PES,PROPRIO,CAVMEC,,,,
6801,,GVQ9394,,TRANS PES,PROPRIO,CSC,,,,
6802,,PUE3842,,TRANS PES,PROPRIO,CAVMEC,,,,
6803,,PUK7690,,TRANS PES,PROPRIO,CSC,,,,
6804,,MTN9323,,TRANS PES,PROPRIO,CSC,,,,
6805,,GOV7927,,TRANS PES,PROPRIO,CAVMEC,,,,
6806,,IIQ9937,,TRANS PES,PROPRIO,CSC,,,,
6807,,AMB8796,KOMBI,PARTICULAR,PROPRIO,UTILIT,,,,
6808,,NSP5889,,PARTICULAR,PROPRIO,CSC,,,,
6809,,PYC5048,,PARTICULAR ,PROPRIO,TRUCK,,,,
6810,,HVN0791,,GRUPO ARIZONA,PROPRIO,CAVMEC,,,,
6811,,BWY8985,,GRUPO ARIZONA,PROPRIO,CSC,,,,
6812,,HBG6288,,GRUPO ARIZONA,PROPRIO,TRUCK,CSC,,,
6813,,KDS5345,,PARTICULAR,PROPRIO,MOTO,,,,
6814,,QEX2421,,PARTICULAR,PROPRIO,VLEVE,,,,
6815,,DBP2257,,GRUPO ARIZONA,PROPRIO,TRUCK,CSC,,,
6816,,JUZ5268,,TRANSPUÃ,PROPRIO,TRUCK,CAMINHAO OFICINA,,,
6817,,NWV0425,,ITL,PROPRIO,TRUCK,CSC,,,
6818,,GVQ9556,,TRANSPES MINAS,PROPRIO,CSC,,,,
6819,,DVS7993,,TRANSPES MINAS,PROPRIO,CSC,,,,
6820,,OTU3829,,ADVANCE,PROPRIO,VLEVE,,,,
6821,,JVO0903,,PARTICULAR,PROPRIO,UTILIT,,,,
6822,,JVX9322,,PARTICULAR,PROPRIO,VLEVE,,,,
6823,,QMW0490,GOL,PARTICULAR,PROPRIO,VLEVE,,,,
6824,,HGL7650,,PARTICULAR,PROPRIO,VLEVE,,,,
6825,,JVH9306,CALSSIC,PARTICULAR,PROPRIO,VLEVE,,,,
6826,,OFT0701,,JUSTO LOCACAO,PROPRIO,TRUCK,PRANCHA,,,
6827,,KVZ7833,COBALT,PARTICULAR,PROPRIO,VLEVE,,,,
6828,,OTL4379,,PARTICULAR,PROPRIO,MOTO,,,,
6829,,QDT8755,,PARTICULAR,PROPRIO,MOTO,,,,
6830,,QDN4674,,PARTICULAR,PROPRIO,MOTO,,,,
6831,,NSK4807,,PARATOLDOS,PROPRIO,TRUCK,,,,
6832,,NSY0563,CELTA,PARTICULAR,PROPRIO,VLEVE,,,,
6833,,PWM2630,,TRANSPESMINAS,PROPRIO,CAVMEC,,,,
6834,,EQU5664,,TRANSPESMINAS ,PROPRIO,CSC,,,,
6835,,GOV3910,,TRANSPESMINAS ,PROPRIO,CAVMEC,,,,
6836,,GUK6238,,TRANSPESMINAS ,PROPRIO,CSC,,,,
6837,,GRB7170,,PARTICULAR,PROPRIO,CAVMEC,,,,
6838,,DBC5074,,PARTICULAR,PROPRIO,TRUCK,,,,
6839,,OTE6945,I,PARTICULAR,PROPRIO,MOTO,,,,
6840,,JTQ4725,,AMAZON BRASIL,PROPRIO,TRUCK,BAU,,,
6841,,DAD4517,,PARTICULAR,PROPRIO,CAVMEC,,,,
6842,,JWC9080,,PARTICULAR,PROPRIO,TRUCK,BAU,,,
6843,,OTC5852,,PARTICULAR,PROPRIO,VLEVE,,,,
6844,,OTQ7484,,KARISA,PROPRIO,TRUCK,BAU,,,
6845,,JPN2679,TOYOTA,AMAZON BRASIL,PROPRIO,VLEVE,,,,
6846,,JVX2103,L200,PARTICULAR,PROPRIO,UTILIT,,,,
6847,,JMW0210,,NORTESUL BAU,PROPRIO,CAVMEC,,,,
6848,,OTM1901,,PARAMAPA,PROPRIO,TRUCK,,,,
6849,,QEC3502,PALIO,PARTICULAR,PROPRIO,VLEVE,,,,
6850,,OVS8242,,CORREIOS,PROPRIO,UTILIT,,,,
6851,,BKN5830,,KARISA,PROPRIO,CAVMEC,,,,
6852,,BTS6149,1034,SADA TRANSPORTES,PROPRIO,CEGSC,,,,
6853,,OTC1648,,PARTICULAR,PROPRIO,MOTO,,,,
6854,,OFW6321,MARCH,PARTICULAR,PROPRIO,VLEVE,,,,
6855,,UFP9793,,TRANS PES,PROPRIO,CSC,,,,
6856,,PZU0170,,TRANS PES MINAS,PROPRIO,VLEVE,,,,
6857,,CDL3785,,GRANERO,PROPRIO,TOCO,BAU,,,
6858,,NSW8341,,PARTICULAR,PROPRIO,MOTO,,,,
6859,,HVU6848,,PARTICULAR,PROPRIO,CAVMEC,,,,
6860,,BXB2233,,PARTICULAR,PROPRIO,BAU,,,,
6861,,QDG2151,,TABALMIX,PROPRIO,TRUCK,,,,
6862,,QEE5642,BAU,CIDADE LIMPA,PROPRIO,TRUCK,BAU,,,
6863,,NEY5495,,PARTICULAR,PROPRIO,UTILIT,,,,
6864,,HGF8411,,CONTRUTORA SANATANA,PROPRIO,CAVMEC,,,,
6865,,LQN9008,,TRANS PES MINAS,PROPRIO,CAVMEC,,,,
6866,,OTV1168,,TRANS PES MINAS,PROPRIO,CSC,DOLLY,,,
6867,,OGS8876,,TRANS PES MINAS ,PROPRIO,CSC,,,,
6868,,OXH2891,,TRANS PES MINAS ,PROPRIO,VLEVE,ESCOLTA TRANS PES,,,
6869,,NSR0925,CHERY,PARTICULAR,PROPRIO,VLEVE,,,,
6870,,AHT1996,,PARTICULAR,PROPRIO,VLEVE,,,,
6871,,QDT3893,,PARTICULAR,PROPRIO,MOTO,,,,
6872,,IAI3311,,PARTICULAR,PROPRIO,TRUCK,,,,
6873,,QER2006,,SC TRANSPORTES,PROPRIO,VLEVE,,,,
6874,,DJC1283,,AMAZON GLOBAL,PROPRIO,TRUCK,BAU,,,
6875,,JUA9242,,MB COUROS ,PROPRIO,UTILIT,,,,
6876,,JVR9300,,HP EMBREAGENS PEÇAS,PROPRIO,CAVMEC,,,,
6877,,JMC5955,,HP EMBREGENS PEÇAS,PROPRIO,CSC,,,,
6878,,OPV1151,,TRANS PES,PROPRIO,CSC,,,,
6879,,HKA7818,,CONSTRUTORA SATANNA,PROPRIO,CSC,,,,
6880,,NWP4294,,PARTICULAR,PROPRIO,VLEVE,,,,
6881,,HGM0643,,MAISA ESCOLTA,PROPRIO,VLEVE,,,,
6882,,PUA3445,,TRANS PES MINAS,PROPRIO,CAVMEC,,,,
6883,,PUI1696,,TRANS PES MINAS,PROPRIO,CSC,,,,
6884,,EJX7596,,RIO SUL ESCOLTA,PROPRIO,VLEVE,,,,
6885,,NMP4294,,PARTICULAR,PROPRIO,VLEVE,,,,
6886,,IMY7910,,PARTICULAR,PROPRIO,CAVMEC,,,,
6887,,JUJ7077,,PARTICULAR,PROPRIO,CSC,,,,
6888,,JUJ0647,,PARTICULAR,PROPRIO,CSC,,,,
6889,,MQV2412,,PARTICULAR,PROPRIO,MUNCK,,,,
6890,,NEQ5694,FOX,PARTICULAR,PROPRIO,VLEVE,,,,
6891,,QET7202,,PARTICULAR ,PROPRIO,MOTO,,,,
6892,,OTW9789,,PARTICULAR,PROPRIO,TRUCK,BAU,,,
6893,,OTV9822,,UNIAO MAQUINAS E TRATORES,PROPRIO,TRUCK,,,,
6894,,OTC8601,KOMBI,PARA FIBRA,PROPRIO,UTILIT,,,,
6895,,NFR6622,,TRANSPES MINAS,PROPRIO,CSC,,,,
6896,,HBZ6110,,TRANSPES MINAS,PROPRIO,CSC,,,,
6897,,GVQ5598,,TRANSPES MINAS,PROPRIO,CSC,,,,
6898,,MSO3014,,TRANSPES MINAS,PROPRIO,CSC,,,,
6899,,JML5975,,HP EMBREAGENS,PROPRIO,CSC,,,,
6900,,EFS8460,UNO,PARTICULAR,PROPRIO,VLEVE,,,,
6901,,GXM4659,,PARTICULAR,PROPRIO,CAVMEC,,,,
6902,,IJX8167,,PARTICULAR,PROPRIO,CAVMEC,,,,
6903,,GPZ9693,,PARTICULAR,PROPRIO,CAVMEC,,,,
6904,,HFJ0788,,PARTICULAR,PROPRIO,CSC,,,,
6905,,OQH4805,,PARTICULAR,PROPRIO,VLEVE,,,,
6906,,NTB4746,,PARTICULAR,PROPRIO,VLEVE,,,,
6907,,ASU4F63,,PARTICULAR,PROPRIO,UTILIT,,,,
6908,,OTW9838,HILUX,KVA LOCADORA,PROPRIO,UTILIT,,,,
6909,,QDE3311,,KVA LOCADORA,PROPRIO,REBOQUE,,,,
6910,,PPB4413,,PARTICULAR,PROPRIO,CAVMEC,,,,
6911,,NVL8551,,PARTICULAR,PROPRIO,BAU,,,,
6912,,DJF7020,,PARTICULAR,PROPRIO,CAVMEC,,,,
6913,,JZO1816,,PARTICULAR,PROPRIO,CSC,,,,
6914,,LTP4300,ECOTEC,PARTICULAR,PROPRIO,VLEVE,,,,
6915,,HBG1462,,PARTICULAR,PROPRIO,CAVMEC,,,,
6916,,AUI0421,,TRAS PES,PROPRIO,CSC,,,,
6917,,PWK8113,,TRANS PES ,PROPRIO,CAVMEC,,,,
6918,,HDI0199,,AUTO LOCADORA PJR OLIVEIRA,PROPRIO,CAVMEC,,,,
6919,,LXB5448,,AUTO LOCADORA PJR OLIVEIRA,PROPRIO,CSC,,,,
6920,,BEN1114,TOYOTA,PARTICULAR,PROPRIO,VLEVE,,,,
6921,,NPU7802,,PARTICULAR,PROPRIO,TRUCK,,,,
6922,,NFB2504,,AC PARCERIA,PROPRIO,UTILIT,,,,
6923,,QDZ8463,,TABALMIX,PROPRIO,TRUCK,CACAMBA,,,
6924,,LRW1H37,04GL,CATTANI,PROPRIO,ONIBUS,,,,
6925,,BSF5352,,TAPAJOS TRANSP.,PROPRIO,CAVMEC,,,,
6926,,QNQ6806,,PAREX CONTRUÇAO ,PROPRIO,VAN,,,,
6927,,DPS6682,,SEMOB,PROPRIO,VLEVE,,,,
6928,,LVH4221,,FARINORTE,PROPRIO,CSC,TANQUE,,,
6929,,OTT4187,,DHL EQUIPAMENTOS,PROPRIO,UTILIT,,,,
