ZZ3_IDEQU,ZZ3_FILIAL,ZZ3_PLACA,ZZ3_FROTA ,ZZ3_EMPEQU,ZZ3_POSSE,ZZ3_TIPEQU,ZZ3_OBS,ZZ3_DATDIG,D_E_L_E_T_,R_E_C_N_O_
1,,CPI8726,,PARTICULAR,PROPRIO,CSC,,,,
2,,GMD3123,,PARTICULAR,PROPRIO,CAVMEC,,,,
3,,IVK8634,,PARTICULAR,CLIENTE,CSC,,,,
4,,QDA5378,,PARTICULAR,CLIENTE,UTILIT,,,,
5,,ORB8088,,PARTICULAR,PROPRIO,CAVMEC,,,,
6,,JYC1919,,OPTRANS TRANSPORTE ,CLIENTE,CSC,,,,
7,,JYA4073,,OPTRANS TRANSPORTE,CLIENTE,REBOQUE,CARRETA,,,
8,,JVV4751,,,PROPRIO,MOTO,,,,
9,,HBZ4180,,AC PARCERIA,CLIENTE,CAVMEC,,,,
10,,AHU4750,,BRANDAO TRANPORTE,CLIENTE,CAVMEC,,,,
11,,CGS0712,910,LINAVE,CLIENTE,BAU,PROCEDENTE DA BRANDAO TRANSPORTES,,,
12,,QDB0698,,LINAVE,PROPRIO,UTILIT,,,,
13,,KER2538,1260,LINAVE,PROPRIO,BAU,,,,
14,,LYD2188,,BRANDAO TRANSPORTE,CLIENTE,CAVMEC,,,,
15,,OTR0272,,,PROPRIO,MOTO,,,,
16,,JVQ4770,,,PROPRIO,MOTO,,,,
17,,NEX1877,,,PROPRIO,VLEVE,,,,
18,,OFT3346,,,PROPRIO,MOTO,,,,
19,,JVN4848,,,PROPRIO,VLEVE,,,,
20,,NXC2195,,,PROPRIO,VLEVE,,,,
21,,NSZ7165,,,PROPRIO,VLEVE,,,,
22,,OJB8G66,05GL,CATTANI,PROPRIO,ONIBUS,,,,
23,,JTW1451,,,PROPRIO,VLEVE,,,,
24,,HGJ8376,,SADA,CLIENTE,CAVMEC,,,,
25,,QNS6890,KA,UBER,CLIENTE,VLEVE,,,,
26,,GSV8022,,UNIUSLOG,CLIENTE,CAVMEC,,,,
27,,OSW6202,,UNIUSLOG,CLIENTE,CSC,,,,
28,,OBU9254,,AMAZON DRY PORT,CLIENTE,CAVMEC,,,,
29,,JVW4514,,AMAZON DRY PORT,CLIENTE,CSC,,,,
30,,OFN8715,,SP CONTABILIDADE,PROPRIO,VLEVE,,,,
31,,OTJ1002,,AMAZON DRY PORT,CLIENTE,CAVMEC,,,,
32,,OTE8111,,AMAZON DRY PORT,CLIENTE,CSC,,,,
33,,JVQ1321,,AMAZON DRY PORT,CLIENTE,CAVMEC,,,,
34,,OTE8281, ,AMAZON DRY PORT,CLIENTE,CSC,,,,
35,,HGL3344,,SADA,CLIENTE,CAVMEC,,,,
36,,PXJ3275,266,SADA,CLIENTE,CEGSC,,,,
37,,MGZ4225,,BALUARTE,CLIENTE,CAVMEC,,,,
38,,MMX1555,,BALUARTE CONSTRUTORA,CLIENTE,CSC,AGREGADO,,,
39,,JTG5319,,SILVA E PACIFICO LOG,CLIENTE,CAVMEC,AGREGADO,,,
40,,JVD1294,,LINAVE,PROPRIO,MOTO,FUNCIONARIO,,,
41,,JWE7059,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
42,,JVQ8167,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
43,,JGQ4770,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
44,,NSL6325,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
45,,OTR0272,,LINAVE,PROPRIO,MOTO,FUNCIONARIO,,,
46,,NEX1877,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
47,,QDB28654,,LINAVE,PROPRIO,VLEVE,FUNCIONARIA,,,
48,,OTM0096,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
49,,OBU0988,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
50,,NSZ8235,FRONTIER,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
51,,QDM6458,KA,LINAVE,PROPRIO,TRUCK,FUNCIONARIO,,,
52,,OTK1506,S10,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
53,,JVY5274,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
54,,EPQ4191,,SILVA E PACIFICO LOG,CLIENTE,BAU,,,,
55,,JVZ1069,,LINAVE,PROPRIO,CAVMEC,,,,
56,,ITM5588,6515,SADA,CLIENTE,CAVMEC,,,,
57,,BWS2841,615,SADA,CLIENTE,CEGSC,,,,
58,,FHQ0401,,TRANSLOCOMOTIVA,CLIENTE,CSC,,,,
59,,EJW4592,,TRANSLOCOMOTIVA,CLIENTE,CSC,,,,
60,,EJW4737,,TRANSLOCOMOTIVA,CLIENTE,CSC,,,,
61,,NEO1245,,TERRA ALTA,FORNECEDOR,TRUCK,TRUCK BAU,,,
62,,JVA9481,,TRANSREIS,FORNECEDOR,VLEVE,,,,
63,,BWU8161,,BALUARTE,CLIENTE,CAVMEC,,,,
64,,BWI8160,,BALUARTE,CLIENTE,CSC,,,,
65,,OTJ0188,,TRANSPUAN,PROPRIO,TRUCK,TANQUE,,,
66,,JDC1009,21,AZUL CARGO,CLIENTE,3X4,,,,
67,,JDC1009,21,AZUL CARGA,CLIENTE,3X4,,,,
68,,JVZ9979,MOTO,LINAVE,PROPRIO,MOTO,,,,
69,,OTF2636,1,PARTICULA,PROPRIO,3X4,,,,
70,,NSE3330,1,PARTICULA,PROPRIO,VLEVE,,,,
71,,OTL9850,0,LINAVE,PROPRIO,VLEVE,,,,
72,,JWA3180,1,PARTICULAR,PROPRIO,VLEVE,,,,
73,,HKW5948,351,SADA,FORNECEDOR,CSC,,,,
74,,HIJ3391,351,SADA,FORNECEDOR,CSC,,,,
75,,OFR8288,MOTO,G E,PROPRIO,MOTO,,,,
76,,OFM0096,,PARTICULAR,PROPRIO,VLEVE,NISSAN MARCH,,,
77,,QDB2865,,LINAVE,PROPRIO,VLEVE,,,,
78,,OTE6314,,,PROPRIO,MOTO,,,,
79,,OFN1693,,,PROPRIO,VLEVE,,,,
80,,QDM6458,,,PROPRIO,VLEVE,,,,
81,,JUN1311,,,PROPRIO,MOTO,,,,
82,, NTB8482,PEUGEOT,,PROPRIO,VLEVE,,,,
83,,JVV8282,,PARTICULAR,PROPRIO,TOCO,,,,
84,,QDM3045,HB20,,PROPRIO,VLEVE,,,,
85,,NSW0893,ECOSPORT,,PROPRIO,VLEVE,,,,
86,,NSO9721,HONDA FIT,,PROPRIO,VLEVE,,,,
87,,JVN3217,,CIDADE LIMPA,CLIENTE,CAVMEC,,,,
88,,JVX0613,,CIDADE LIMPA,CLIENTE,BAU,,,,
89,,NTA0319,UNO,,PROPRIO,VLEVE,CRISTIANO GOMES,,,
90,,NWZ1715,MOTO,,PROPRIO,MOTO,MARCOS CORREIA,,,
91,,OFT6625,PAGERO TR4,,PROPRIO,VLEVE,,,,
92,,DBM3280,,TRANS PES,CLIENTE,CSC,,,,
93,,OVF3593,,,CLIENTE,CSC,,,,
94,,NJG1573,1660,LINAVE,PROPRIO,BAU,,,,
95,,NSL8748,,REST.VITORIA REGIA,FORNECEDOR,UTILIT,,,,
96,,NTB8442,,SADA,CLIENTE,VLEVE,,,,
97,,OXA8425,,SADA,CLIENTE,VLEVE,,,,
98,,ETF4501,,TRANSLOCOMOTIVA,CLIENTE,VLEVE,SAVEIRO,,,
99,,HKH0299,328,SADA,CLIENTE,CSC,,,,
100,,HPQ0533,HILLUX,PARTICULAR,CLIENTE,VLEVE,PROCEDENTE STM,,,
101,,NSO8019,SIENA,TAXI PARTICULAR,FORNECEDOR,VLEVE,,,,
102,,HII0440,,SADA,CLIENTE,CAVMEC,,,,
103,,GSH3397,439,SADA,CLIENTE,CEGSC,,,,
104,,HIM2363,,AC PARCERIA,CLIENTE,CSC,,,,
105,,OFN8896,,LINAVE,PROPRIO,VLEVE,H.CITY,,,
106,,JWE4644,,MAIS EXTINTORES,FORNECEDOR,UTILIT,,,,
107,,JUK7060,960,LINAVE,PROPRIO,BAU,,,,
108,,GCX2656,,SOUZA CRUZ,CLIENTE,VLEVE,GOL,,,
109,,OCA2815,,TRANSPUAM,CLIENTE,CAVMEC,,,,
110,,OFO1683,,TRANSPUAM,CLIENTE,BITREM,VAZIO,,,
111,,OTF3588,,TRANSPUAM,CLIENTE,BITREM,VAZIO,,,
112,,HBG8159,,SADA,CLIENTE,CAVMEC,,,,
113,,BTB3466,,SADA,CLIENTE,CEGSC,,,,
114,,MLE5500,,COOPERCARGA,CLIENTE,CAVMEC,,,,
115,,JWB1219,,TAXI PARTICULA,FORNECEDOR,VLEVE,,,,
116,,MJT8635,,COOPERCARGA,CLIENTE,BAU,,,,
117,,ITA8346,,UNIUS LOS,CLIENTE,CAVMEC,,,,
118,,ISE0468 , ,UNIUS LOG,CLIENTE,CSC,,,,
119,,HUH0957,,TERCEIRO UNIUS LOG,CLIENTE,CSC,,,,
120,,AEE4383,,TERCEIRO UNIUS LOG,CLIENTE,CSC,,,,
121,,AHU4753,,BRANDAO TRANSPN,CLIENTE,CAVMEC,,,,
122,,JVK7810,970,LINAVE,CLIENTE,BAU,EMBARQUE MANAUS,,,
123,,JUS0540,1030,LINAVE,CLIENTE,BAU,COLETA BRANDAO,,,
124,,JVI4535,,GE SERVICO,PROPRIO,VLEVE,,,,
125,,JUN5951,,,PROPRIO,VLEVE,FIAT UNO,,,
126,,JWB0392,,,PROPRIO,VLEVE,SIENA,,,
127,,NSW7203,,,PROPRIO,VLEVE,FIEST HATCH,,,
128,,QDM3280,,,PROPRIO,VLEVE,ECOSPORT,,,
129,,NSO4312,,,FORNECEDOR,VLEVE,CELTA,,,
130,,QDI5835,,PARTICULAR,PROPRIO,VLEVE,HB20 HATCH,,,
131,,PCC8768,,PROSEGUR,CLIENTE,VLEVE,FIAT UNO,,,
132,,NSN3645,,CARTORIO MOURA PALHA,FORNECEDOR,MOTO,,,,
133,,CBS1067,,TCL,CLIENTE,CAVMEC,,,,
134,,JWI2008,5788,TCL,CLIENTE,BAU,,,,
135,,NOT9938,,TCL,CLIENTE,CAVMEC,,,,
136,,FHB9135,,TCL,CLIENTE,BAU,,,,
137,,NOX1918,,TCL,CLIENTE,CAVMEC,,,,
138,,BWI9877,1202,TCL,CLIENTE,BAU,,,,
139,,QDP0516,,ENDICON,CLIENTE,MUNCK,,,,
140,,FKD4297,3595,TRANSZERO,CLIENTE,CAVMEC,,,,
141,,EPU6697,3595,TRANSZERO,CLIENTE,CEGSC,,,,
142,,JUY4776,,PARTICULA,PROPRIO,MOTO,,,,
143,,JVZ1577,,NORTE SUL BAUS ,FORNECEDOR,VLEVE,,,,
144,,NSE9364,,EDINEY LEMOS ,FORNECEDOR,VLEVE,AGILE,,,
145,,OBY0272, ,HIGINOR,FORNECEDOR,VLEVE,,,,
146,,PCO6706,,PROSEGUR,CLIENTE,VLEVE,,,,
147,,QDQ7852,,ENDICON,CLIENTE,VLEVE,PALIO,,,
148,,JUL6183,,GILTEC,FORNECEDOR,VLEVE,SIENA,,,
149,,OFW9902,,AZUL CARGO,FORNECEDOR,MOTO,,,,
150,,CPG5317,,TRANSGLOBAL,CLIENTE,CAVMEC,,,,
151,,GVP2614,,TRANGLOBAL,CLIENTE,CSC,PRANCHA,,,
152,,JWD6746,,TOPPER LUBRIFICANTES,FORNECEDOR,VLEVE,POLO,,,
153,,NVZ5506,,AUTO SOCORRO ASA,CLIENTE,UTILIT,CAM.PLATAFORMA,,,
154,,QDC1009,,AZUL CARGO,FORNECEDOR,VLEVE,FIORINO,,,
155,,JUU9127,,LUBRIFIC,FORNECEDOR,VLEVE,QQ PICANTO,,,
156,,LIU5057,,TRANSGLOBAL,CLIENTE,CSC,PRANCHA,,,
157,,JUE0449,,BATERIA EURO,FORNECEDOR,MOTO,,,,
158,,JVH3007,,HYTEC,CLIENTE,VLEVE,GOL,,,
159,,FKD4297,3595,TRANSZERO,CLIENTE,CAVMEC,,,,
160,,OTZ9417,,PARKER,CLIENTE,VLEVE,,,,
161,,OFM2786,,PARTICULA,FORNECEDOR,MOTO,,,,
162,,NSR5516,,LUBRIFIC,FORNECEDOR,REBOQUE,CAMINHAO TANQUE ,,,
163,,PXB6694,,PARTICULAR,PROPRIO,TRUCK,,,,
164,,QDF5639,1,RESTAURANTE FROTAS,PROPRIO,VLEVE,ENTREGA REFEICAO,,,
165,,JVY8733,MOTO,LINAVE,PROPRIO,MOTO,VIAGEN,,,
166,,JUJ5866,1,PARTICULA,PROPRIO,VLEVE,,,,
167,,OFM1751,1,PARTICULA,PROPRIO,VLEVE,,,,
168,,OQT8451,JP27,SADA,PROPRIO,CSC,,,,
169,,PWJ0216,JP27,SADA,PROPRIO,CSC,,,,
170,,JWB1219,1,PARTICULAR,PROPRIO,VLEVE,,,,
171,,NAQ9738,1,JOSE ADEMIR,PROPRIO,CEGSC,,,,
172,,NAQ8167,1,PARTICULAR,PROPRIO,CEGSC,,,,
173,,MGY2930,1,TRANSGLOBAL,FORNECEDOR,REBOQUE,,,,
174,,BYE1997,1,TRANSGLOBAL,FORNECEDOR,REBOQUE,,,,
175,,OTW3886,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO MARITIMO,,,
176,,AKZ9641,,LINAVE,PROPRIO,VLEVE,FUNCIONARIO,,,
177,,QDH9071,,,PROPRIO,VLEVE,DUSTER,,,
178,,OFP1222,,,PROPRIO,VLEVE,CROSS FOX,,,
179,,OTL0718,,TRANSGLOBAL,CLIENTE,CAVMEC,,,,
180,,FFI8126,863,TRANSGLOBAL,CLIENTE,CSC,,,,
181,,QDI4780,909,TRANSGLOBAL,CLIENTE,CAVMEC,,,,
182,,FFI8124,,TRANSGLOBAL,CLIENTE,CSC,,,,
183,,MOR7596,,MEGA GAS E AGUA,FORNECEDOR,VLEVE,MOTO,,,
184,,JUZ4165,,,PROPRIO,MOTO,,,,
185,,NOX2746,,TCL,CLIENTE,CAVMEC,,,,
186,,EJY9523,,TCL,CLIENTE,BAU,,,,
187,,OTA4937,,,PROPRIO,MOTO,,,,
188,,NEO6476,,TERRA ALTA,FORNECEDOR,TRUCK,CAM.BAU,,,
189,,QDJ7641,,FREDLOG,FORNECEDOR,MOTO,,,,
190,,OFW1414,JAC J3,,PROPRIO,VLEVE,,,,
191,,OFN4284,FIAT UNO,LOJA DA CORRENTE,FORNECEDOR,VLEVE,,,,
192,,QDY3862,RENALT CLI,BIC BANCO,FORNECEDOR,VLEVE,,,,
193,,JWE3394,MOTO,,PROPRIO,MOTO,,,,
194,,JTE1795,,RAPIDO LONDON,FORNECEDOR,TOCO,TOCO-BAU,,,
195,,NSU9043,,,PROPRIO,MOTO,,,,
196,,HBG7865,,T GLOBAL,CLIENTE,CSC,VAZIA,,,
197,,JVA9481,,,PROPRIO,VLEVE,,,,
198,,JVU8929,,AUTO SOCORRO GAUCHO,CLIENTE,MUNCK,,,,
199,,OTI3951,,CORREIOS,FORNECEDOR,MOTO,,,,
200,,NSJ1937,PALIO,TRIBUNAL DE JUSTIÇA,FORNECEDOR,VLEVE,,,,
201,,JVY5274,,,PROPRIO,VLEVE,,,,
202,,EJW4679,,TRANSLOCOMOTIVA,CLIENTE,CAVMEC,,,,
203,,EJW4952,,TRANSLOCOMOTIVA,CLIENTE,CSC,,,,
204,,JVT9496,,HYTEC,FORNECEDOR,UTILIT,KIA,,,
205,,NTB5789,,RODA VIVA,FORNECEDOR,UTILIT,L200,,,
206,,QDZ6402,,AUTO SOCORRO ASA,FORNECEDOR,UTILIT,CAM.PLATAFORMA,,,
207,,JWD2267,KOMBI,SOTREQ,FORNECEDOR,UTILIT,,,,
208,,OTL2301,MONTANA,PROMEDIAL COMERCIO,FORNECEDOR,UTILIT,,,,
209,,FUO4014,MERCEDZ250,PARTICULAR,PROPRIO,VLEVE,,,,
210,,HQB1351,H.FIT,,PROPRIO,VLEVE,,,,
211,,OPN0240,240,SADA TRANSP,CLIENTE,CAVMEC,,,,
212,,GKU9973,240,SADA TRANSP,CLIENTE,CEGSC,,,,
213,,HDP0311,311,SADA TRANSP,CLIENTE,CAVMEC,,,,
214,,HFD4018,311,SADA TRANSP,CLIENTE,CEGSC,,,,
215,,QDH4686,,TRANS MACENA,CLIENTE,CAVMEC,,,,
216,,OTT4562,=,TRANS MACENA,CLIENTE,CAVMEC,,,,
217,,OTQ1664,,TRANS MACENA,CLIENTE,CAVMEC,,,,
218,,QDH4489,,TRANS MACENA,CLIENTE,CAVMEC,,,,
219,,MWT9560,,TRANS MACENA,CLIENTE,CAVMEC,,,,
220,,OTH4383,,,CLIENTE,CAVMEC,,,,
221,,JUZ4165,,,PROPRIO,MOTO,,,,
222,,QDJ8045,,,PROPRIO,MOTO,,,,
223,,OFN9478,MOTO,,FORNECEDOR,MOTO,,,,
224,,JUW5346,CORSA ,,PROPRIO,VLEVE,,,,
225,,QDO0962,COBALT ,,PROPRIO,VLEVE,,,,
226,,OPE5677,,ASA NORTE,FORNECEDOR,TRUCK,CAM.TRUCK,,,
227,,QDI8600,HB20,,PROPRIO,VLEVE,,,,
228,,HAB8958,,,CLIENTE,VLEVE,PALIO WEEKEND,,,
229,,QDM0960,,,PROPRIO,VLEVE,MITSHUBISH ASX,,,
230,,JUW8805,FIORINO,CASA DAS TINTAS,FORNECEDOR,UTILIT,,,,
231,,NSI2970,SIENA,,FORNECEDOR,VLEVE,,,,
232,,OFV6185,HILUX,TRANSMACENA,CLIENTE,UTILIT,,,,
233,,OTK1574,MONTANA,DESTACK,FORNECEDOR,UTILIT,,,,
234,,JVU4105,SORENTO,SESMEX,FORNECEDOR,UTILIT,,,,
235,,FKE9784,,GOLDEN CARGO,CLIENTE,TRUCK,,,,
236,,FFI8130,869,TRANSGLOBAL,CLIENTE,TRUCK,CAM.BAU,,,
237,,OTY3662,,CDP,CLIENTE,MOTO,,,,
238,,PWQ0250,250,SADA,CLIENTE,CAVMEC,,,,
239,,PWY0250,250,SADA,CLIENTE,CEGSC,,,,
240,,IRF7835,535,SADA,CLIENTE,CAVMEC,,,,
241,,IVT8778,535,SADA,CLIENTE,CEGSC,,,,
242,,NOS9618,,TCL,CLIENTE,CAVMEC,,,,
243,,JWH3489,,TCL,CLIENTE,BAU,,,,
244,,QJE9735,761,TRANSGLOBAL,CLIENTE,CSC,,,,
245,,NSK0764,,GUIMARAES ,CLIENTE,TRUCK,,,,
246,,JWA3353,FIETA ,FARINORTE ,PROPRIO,VLEVE,,,,
247,,NTA0319,PUNTO,,PROPRIO,VLEVE,,,,
248,,FXJ1140,JP18,SADA ,CLIENTE,CEGSC,,,,
249,,HGJ8242,JP18,SADA ,CLIENTE,CAVMEC,,,,
250,,JVV4625,PLAT ,AUTO SOCORRO ASA ,CLIENTE,3X4,,,,
251,,NSG4470,COROLLA,CESARI,CLIENTE,UTILIT,,,,
252,,OTO5705,ONIX,,PROPRIO,UTILIT,,,,
253,,JVR5352,IDEA,,PROPRIO,UTILIT,,,,
254,,JXA7168, ,TCL,CLIENTE,CAVMEC,,,,
255,,NGD1061,1500,LINAVE,PROPRIO,BAU,,,,
256,,PUN1406,7,SADA ,CLIENTE,CAVMEC,,,,
257,,PVO1406,379,SADA TRANSP,CLIENTE,CEGSC,,,,
258,,CZC7458, ,CAPRIMAR,CLIENTE,CAVMEC,,,,
259,,DBM8881,,CAPRIMAR,CLIENTE,BAU,,,,
260,,BVS3167,,DBS MUDANÇA ,CLIENTE,TRUCK,,,,
261,,KCZ0931,,,CLIENTE,TRUCK,,,,
262,,OVW4248,,,CLIENTE,TRUCK,,,,
263,,BWN0950,,,CLIENTE,TRUCK,,,,
264,,NEV4958,,,PROPRIO,VLEVE,,,,
265,,NSR6073,TUCKSON,,PROPRIO,UTILIT,,,,
266,,NOS9638,,TCL,CLIENTE,CAVMEC,,,,
267,,NGJ1573,1660,LINAVE,PROPRIO,BAU,,,,
268,,JIP7299,,HC PNEUS ,CLIENTE,TRUCK,,,,
269,,NTC3714,,CESARI,CLIENTE,VLEVE,,,,
270,,BWE4160,,CERASI,CLIENTE,CAVMEC,,,,
271,,EVO1470,26848,CESARI ,CLIENTE,CSC,,,,
272,,BWO8669,,CESARI,CLIENTE,CAVMEC,,,,
273,,FHB9158,,TCL,CLIENTE,BAU,,,,
274,,EJY9508,,TCL,CLIENTE,BAU,,,,
275,,EJY9511,,TCL,CLIENTE,BAU,,,,
276,,JWN4617,8518,TCL,CLIENTE,BAU,,,,
277,,BWI9888,1292,TCL,CLIENTE,BAU,,,,
278,,OTF4501,,TRANSLOCOMOTIVA ,CLIENTE,VLEVE,,,,
279,,BWI9862,1012,TCL,,CLIENTE,BAU,,,
280,,BWI9886,1272,TCL,CLIENTE,BAU,,,,
281,,EJY9510,,TCL,CLIENTE,BAU,,,,
282,,FHB9154,,TCL,CLIENTE,BAU,,,,
283,,NOX2726,,TCL,CLIENTE,CAVMEC,,,,
284,,FHB9140,,TCL,CLIENTE,BAU,,,,
285,,EKH3777,,TCL,CLIENTE,BAU,,,,
286,,KEE8659,,REIS LISBOA,CLIENTE,BITREM,,,,
287,,HQN8795,,REIS LISBOA,CLIENTE,BITREM,,,,
288,,JWR3403,,REIS LISBOA,CLIENTE,BITREM,,,,
289,,MKQ5600,,CESARI,CLIENTE,GUIND,,,,
290,,BWI9876,1192,TCL,CLIENTE,BAU,,,,
291,,FHB9141,,TCL,CLIENTE,BAU,,,,
292,,CBS1052,,TCL,CLIENTE,BAU,,,,
293,,FHB9152,,TCL,CLIENTE,BAU,,,,
294,,BWI4160,,CESARI,CLIENTE,CAVMEC,,,,
295,,FHB9159,,TCL,CLIENTE,BAU,,,,
296,,FHB9146,,TCL,CLIENTE,BAU,,,,
297,,CBR4760,,FARINORTE,CLIENTE,CAVMEC,,,,
298,,OPO6732,JP14,SADA,CLIENTE,CAVMEC,,,,
299,,PUF5985,JP41,SADA,CLIENTE,CEGSC,,,,
300,,GVJ5053,,FARINORTE,CLIENTE,CSC,TANQUE,,,
301,,FIA4151,,TRANSLOCOMOTIVA,CLIENTE,CSC,,,,
302,,FDK4006,,CESARI,CLIENTE,CSC,,,,
303,,FKD4006,,CESARI,CLIENTE,CSC,,,,
304,,EJW4786,,CESARI,CLIENTE,CAVMEC,,,,
305,,GJN4151,,CESARI,CLIENTE,BITREM,,,,
306,,EJW4624,,CESARI,CLIENTE,BITREM,,,,
307,,HDR2929,239,SADA,CLIENTE,CAVMEC,,,,
308,,HFD2500,239,SADA,CLIENTE,CEGSC,,,,
309,,NEY7268,CROSSFOX,,PROPRIO,VLEVE,,,,
310,,OXE3255,,TRANSPES,CLIENTE,CAVMEC,,,,
311,,HBZ6820,,TRANSPES ,CLIENTE,CSC,,,,
312,,OFT2636,CLEO ,,CLIENTE,VLEVE,,,,
313,,AIO3050,,TRANSGLOBAL,CLIENTE,CSC,,,,
314,,AIO3040,,TRANSGLOBAL,CLIENTE,CAVMEC,,,,
315,,JVG4069,1,PARTICULAR,PROPRIO,VLEVE,,,,
316,,NYG5060,JP25,SADA,FORNECEDOR,CAVMEC,,,,
317,,HFD3099,821,SADA,FORNECEDOR,CEGSC,,,,
318,,MWZ9895,PLATAFORMA,MACZ ENGENHARIA,CLIENTE,TRUCK,CAM.PLATAFORMA,,,
319,,NSZ9040,CELTA,,PROPRIO,VLEVE,,,,
320,,MFV4958,VOYAGEM,,PROPRIO,VLEVE,,,,
321,,JUN5951,UNO,,PROPRIO,VLEVE,,,,
322,,JWD7061,CAM BAU,TNT TRANSP,FORNECEDOR,TRUCK,,,,
323,,OTU8306,CROSS FOX,,PROPRIO,VLEVE,,,,
324,,JTF2373,TRUCK,ARGAMAX,FORNECEDOR,TRUCK,CAM.TRUCK,,,
325,,JUQ2252,,CIDADE LIMPA,FORNECEDOR,CAVMEC,,,,
326,,JVT7447,,CIDADE LIMPA,FORNECEDOR,BAU,,,,
327,,JVK2116,BAU,RECAPAGEM LIDER,FORNECEDOR,TRUCK,CAM.BAU,,,
328,,OFT8016,BAU,CIDADE LIMPA,FORNECEDOR,BAU,,,,
329,,BWI9866,1052,TCL,CLIENTE,BAU,,,,
330,,JVB8642,,CIDADE LIMPA,FORNECEDOR,CAVMEC,,,,
331,,JXA3123,,TCL,CLIENTE,CAVMEC,,,,
332,,JXB1532,349,TCL,CLIENTE,BAU,,,,
333,,NPB0899,,TCL,CLIENTE,CAVMEC,,,,
334,,NSP1879,CAM.BAU,CHAMATEC,FORNECEDOR,TOCO,CAM.BAU,,,
335,,JVW9348,CAM.BAU,IMPORTADORA BRASILEIRA,FORNECEDOR,TOCO,CAM.BAU,,,
336,,NFB2221,HILUX,PRO CAMERA,FORNECEDOR,UTILIT,,,,
337,,NSN4668,STRADA,ENDICON,CLIENTE,UTILIT,,,,
338,,NTC0261,CAM.SKI,ENDICON,CLIENTE,TRUCK,CAM.TRUCK SKI,,,
339,,JTO8896,CAV.MEC,TRANSREIS,FORNECEDOR,CAVMEC,,,,
340,,QEJ4231,CAV,UNIUSLOG,CLIENTE,CAVMEC,,,,
341,,OBX2559,BAU,UNIUSLOG,CLIENTE,BAU,,,,
342,,OTZ2743,MONTANA,,PROPRIO,UTILIT,,,,
343,,HKN2500,,SADA,CLIENTE,CAVMEC,,,,
344,,HIJ7937,503,SADA,CLIENTE,CSC,CEGONHA,,,
345,,EVO3787,,CESARI,CLIENTE,CSC,,,,
346,,AQD9992,,CESARI,CLIENTE,CAVMEC,,,,
347,,OSZ2089,VOYAGEM,,PROPRIO,VLEVE,,,,
348,,JUC2897,CORSA SEDA,AMAZON,CLIENTE,VLEVE,,,,
349,,OTX7599,FIESTA HAT,,PROPRIO,VLEVE,,,,
350,,OSX8515,,DFIBRA,FORNECEDOR,TRUCK,CAM.TRUCK,,,
351,,QDU7490,CORSA SEDA,,PROPRIO,VLEVE,,,,
352,,OFT7715,,CIDADE LIMPA,FORNECEDOR,BAU,,,,
353,,OTR7024,MOTO,,PROPRIO,MOTO,,,,
354,,QDM4620,,,PROPRIO,MOTO,,,,
355,,OFJ6364,IDEA,,FORNECEDOR,VLEVE,,,,
356,,JUM8834,H.FIT,,PROPRIO,VLEVE,,,,
357,,OTN9571,,,PROPRIO,MOTO,,,,
358,,QEL8932,MOTO,PARTICULAR,PROPRIO,MOTO,,,,
359,,OTL1692,ONIX,,PROPRIO,VLEVE,,,,
360,,QDI5226,,UNIUSLOG,CLIENTE,CAVMEC,,,,
361,,QKF9026,,UNIUSLOG,CLIENTE,BAU,,,,
362,,NYY8916,,UNIUSLOG,CLIENTE,CAVMEC,,,,
363,,ITV9502,,UNIUSLOG,CLIENTE,BAU,,,,
364,,JUA7066,,ACAILANDIA,FORNECEDOR,TRUCK,,,,
365,,OTP7785,SIENA,PARTICULAR,PROPRIO,VLEVE,,,,
366,,JVQ1277,,CIDADE LIMPA,FORNECEDOR,TOCO,,,,
367,,QEF6542,,JAPURA PNEUS,FORNECEDOR,TOCO,,,,
368,,JUW3273,,INDUSTRIA MARONI,FORNECEDOR,TOCO,,,,
369,,JUJ2724,,TOPPER LUBRIFICANTE,FORNECEDOR,VAN,,,,
370,,OPK7589,SIENA,PARTICULAR,PROPRIO,VLEVE,,,,
371,,FDC7104,,CESARI,CLIENTE,CAVMEC,,,,
372,,EOV3783,,CESARI,CLIENTE,CSC,,,,
373,,EVO3783,,CESARI,CLIENTE,CSC,,,,
374,,EDC5206,CB 39,RN EMPREE CONSTRUCAO,CLIENTE,TRUCK,CACAMBA,,,
375,,NSR5526,,LUBRIFIC,FORNECEDOR,TRUCK,CAMINHAO TANQUE,,,
376,,OFW7563,MOTO,L M TRAPOS,FORNECEDOR,MOTO,,,,
377,,NTB3385,DOBLO,CHAMATEC,FORNECEDOR,UTILIT,,,,
